Job,Operation,Machine,Start,Duration,End
1,1,1,12,2,14
1,2,4,17,4,21
1,3,6,21,2,23
2,1,1,2,4,6
2,2,4,6,3,9
2,3,9,9,4,13
3,1,2,9,5,14
3,2,5,19,2,21
3,3,8,21,2,23
4,1,3,0,4,4
4,2,5,4,5,9
4,3,6,9,3,12
5,1,3,8,3,11
5,2,5,13,1,14
5,3,7,14,4,18
6,1,2,2,5,7
6,2,4,9,2,11
6,3,7,11,3,14
7,1,2,0,2,2
7,2,4,2,4,6
7,3,6,6,3,9
8,1,1,9,3,12
8,2,5,14,5,19
8,3,7,19,3,22
9,1,1,0,2,2
9,2,5,2,2,4
9,3,9,4,5,9
10,1,1,6,3,9
10,2,4,11,3,14
10,3,6,16,4,20
11,1,2,7,2,9
11,2,4,14,3,17
11,3,9,17,5,22
12,1,3,4,4,8
12,2,5,9,4,13
12,3,6,13,3,16
