Job,Operation,Machine,Start,Duration,End
1,1,1,9,2,11
1,2,4,16,4,20
1,3,6,20,2,22
2,1,1,0,4,4
2,2,4,5,3,8
2,3,7,8,4,12
3,1,3,8,4,12
3,2,5,18,2,20
3,3,8,20,2,22
4,1,2,2,3,5
4,2,5,8,5,13
4,3,6,13,3,16
5,1,2,7,5,12
5,2,5,20,1,21
5,3,6,22,3,25
6,1,3,12,4,16
6,2,4,20,2,22
6,3,7,22,3,25
7,1,2,5,2,7
7,2,4,9,4,13
7,3,8,13,3,16
8,1,1,6,3,9
8,2,5,13,5,18
8,3,7,18,3,21
9,1,1,4,2,6
9,2,4,8,1,9
9,3,9,10,5,15
10,1,3,4,4,8
10,2,4,13,3,16
10,3,6,16,4,20
11,1,2,0,2,2
11,2,4,2,3,5
11,3,9,5,5,10
12,1,3,0,4,4
12,2,5,4,4,8
12,3,6,8,3,11
